"Source","Target","Type"
"case","pragmatic","Undirected"
"case","produce","Undirected"
"case","reader","Undirected"
"case","relationship","Undirected"
"case","school","Undirected"
"case","teacher","Undirected"
"case","text","Undirected"
"categorize","cohesion","Undirected"
"categorize","comprise","Undirected"
"categorize","conjunction","Undirected"
"categorize","ellipsis","Undirected"
"categorize","information","Undirected"
"categorize","lexical","Undirected"
"categorize","like","Undirected"
"categorize","non-structural","Undirected"
"categorize","pattern","Undirected"
"categorize","refer","Undirected"
"categorize","reference","Undirected"
"categorize","relation","Undirected"
"categorize","semantic","Undirected"
"categorize","structural","Undirected"
"categorize","structure","Undirected"
"categorize","substitution","Undirected"
"categorize","text","Undirected"
"categorize","thematic","Undirected"
"cause","complex","Undirected"
"cause","process","Undirected"
"cause","result","Undirected"
"cause","text","Undirected"
"certain","cognitive","Undirected"
"certain","coherence","Undirected"
"certain","coherent","Undirected"
"certain","configuration","Undirected"
"certain","connect","Undirected"
"certain","construct","Undirected"
"certain","context","Undirected"
"certain","conventional","Undirected"
"certain","criterion","Undirected"
"certain","define","Undirected"
"certain","discourse","Undirected"
"certain","fulfill","Undirected"
"certain","ground","Undirected"
"certain","informal","Undirected"
"certain","interaction","Undirected"
"certain","less","Undirected"
"certain","make","Undirected"
"certain","meaning","Undirected"
"certain","meaningful","Undirected"
"certain","particular","Undirected"
"certain","point","Undirected"
"certain","possible","Undirected"
"certain","produce","Undirected"
"certain","refer","Undirected"
"certain","sentence","Undirected"
"certain","sequence","Undirected"
"certain","sign","Undirected"
"certain","signal","Undirected"
"certain","sing","Undirected"
"certain","speak","Undirected"
"certain","speaker","Undirected"
"certain","statement","Undirected"
"certain","structure","Undirected"
"certain","term","Undirected"
"certain","text","Undirected"
"certain","tissue","Undirected"
"certain","write","Undirected"
"certain","writeable","Undirected"
"chain","expand","Undirected"
"chain","indefinitely","Undirected"
"chain","manifest","Undirected"
"chain","purport","Undirected"
"chain","syntagmatic","Undirected"
"chain","text","Undirected"
"chain","whose","Undirected"
"character","cohesion","Undirected"
"character","define","Undirected"
"character","much","Undirected"
"character","relate","Undirected"
"character","rigorously","Undirected"
"character","sentence","Undirected"
"character","sequence","Undirected"
"character","sort","Undirected"
"character","strong","Undirected"
"character","system","Undirected"
"character","text","Undirected"
"character","treat","Undirected"
"character","unchangeable","Undirected"
"character","value","Undirected"
"characteristic","construct","Undirected"
"characteristic","function","Undirected"
"characteristic","possess","Undirected"
"characteristic","text","Undirected"
"characteristic","texture","Undirected"
"characteristic","unit","Undirected"
"characterize","clause","Undirected"
"characterize","coherence","Undirected"
"characterize","cohesion","Undirected"
"characterize","communicate","Undirected"
"characterize","communication","Undirected"
"characterize","communicative","Undirected"
"characterize","constitute","Undirected"
"characterize","definable","Undirected"
"characterize","definition","Undirected"
"characterize","directionality","Undirected"
"characterize","extensional","Undirected"
"characterize","factor","Undirected"
"characterize","feature","Undirected"
"characterize","formal","Undirected"
"characterize","function","Undirected"
"characterize","identify","Undirected"
"characterize","informativeness","Undirected"
"characterize","intensional","Undirected"
"characterize","item","Undirected"
"characterize","language","Undirected"
"characterize","lexical","Undirected"
"characterize","main","Undirected"
"characterize","make","Undirected"
"characterize","material","Undirected"
"characterize","pattern","Undirected"
"characterize","pile","Undirected"
"characterize","present","Undirected"
"characterize","presumably","Undirected"
"characterize","principle","Undirected"
"characterize","producer","Undirected"
"characterize","provide","Undirected"
"characterize","purpose","Undirected"
"characterize","recipient","Undirected"
"characterize","relation","Undirected"
"characterize","rhythmic","Undirected"
"characterize","see","Undirected"
"characterize","semantic","Undirected"
"characterize","sentence","Undirected"
"characterize","separation","Undirected"
"characterize","set","Undirected"
"characterize","similar","Undirected"
"characterize","similarity","Undirected"
"characterize","structural","Undirected"
"characterize","tend","Undirected"
"characterize","text","Undirected"
"characterize","textuality","Undirected"
"characterize","texture","Undirected"
"characterize","unit","Undirected"
"characterize","unity","Undirected"
"characterize","use","Undirected"
"choice","context","Undirected"
"choice","continuous","Undirected"
"choice","convey","Undirected"
"choice","discourse","Undirected"
"choice","express","Undirected"
"choice","form","Undirected"
"choice","intend","Undirected"
"choice","mean","Undirected"
"choice","operate","Undirected"
"choice","paragraph","Undirected"
"choice","parameter","Undirected"
"choice","particular","Undirected"
"choice","process","Undirected"
"choice","represent","Undirected"
"choice","section","Undirected"
"choice","semantic","Undirected"
"choice","sense","Undirected"
"choice","sentence","Undirected"
"choice","sequence","Undirected"
"choice","situation","Undirected"
"choice","specific","Undirected"
"choice","structure","Undirected"
"choice","text","Undirected"
"choice","word","Undirected"
"clause","content","Undirected"
"clause","extensional","Undirected"
"clause","intensional","Undirected"
"clause","relation","Undirected"
"clause","semantic","Undirected"
"clause","sequence","Undirected"
"clause","sign","Undirected"
"clause","superordinate","Undirected"
"clause","text","Undirected"
"clause","thematic","Undirected"
"clause","vary","Undirected"
"close","come","Undirected"
"close","comprise","Undirected"
"close","define","Undirected"
"close","end","Undirected"
"close","indicator","Undirected"
"close","linguistic","Undirected"
"close","meaningful","Undirected"
"close","sequentially","Undirected"
"close","structure","Undirected"
"close","text","Undirected"
"co-text","coherence","Undirected"
"co-text","cohesion","Undirected"
"co-text","contextual","Undirected"
"co-text","distinguish","Undirected"
"co-text","informativity","Undirected"
"co-text","intentionality","Undirected"
"co-text","intertextuality","Undirected"
"co-text","situationality","Undirected"
"co-text","standard","Undirected"
"co-text","text","Undirected"
"co-text","textuality","Undirected"
"code","communication","Undirected"
"code","discourse","Undirected"
"code","function","Undirected"
"code","information","Undirected"
"code","involve","Undirected"
"code","material","Undirected"
"code","numb","Undirected"
"code","realization","Undirected"
"code","realize","Undirected"
"code","relevant","Undirected"
"code","repertoire","Undirected"
"code","see","Undirected"
"code","select","Undirected"
"code","sentence","Undirected"
"code","source","Undirected"
"code","text","Undirected"
"cognitive","connect","Undirected"
"cognitive","construct","Undirected"
"cognitive","context","Undirected"
"cognitive","conventional","Undirected"
"cognitive","discourse","Undirected"
"cognitive","ground","Undirected"
"cognitive","informal","Undirected"
"cognitive","interaction","Undirected"
"cognitive","meaning","Undirected"
"cognitive","particular","Undirected"
"cognitive","point","Undirected"
"cognitive","possible","Undirected"
"cognitive","produce","Undirected"
"cognitive","refer","Undirected"
"cognitive","sequence","Undirected"
"cognitive","sign","Undirected"
"cognitive","signal","Undirected"
"cognitive","speak","Undirected"
"cognitive","speaker","Undirected"
"cognitive","term","Undirected"
"cognitive","text","Undirected"
"cohere","collection","Undirected"
"cohere","group","Undirected"
"cohere","relate","Undirected"
"cohere","sentence","Undirected"
"cohere","text","Undirected"
"coherence","cohesion","Undirected"
"coherence","communicative","Undirected"
"coherence","complementary","Undirected"
"coherence","conjunction","Undirected"
"coherence","connectos","Undirected"
"coherence","consider","Undirected"
"coherence","constitute","Undirected"
"coherence","contextual","Undirected"
"coherence","definable","Undirected"
"coherence","define","Undirected"
"coherence","definition","Undirected"
"coherence","discourse","Undirected"
"coherence","distinguish","Undirected"
"coherence","ellipsis","Undirected"
"coherence","emphasis","Undirected"
"coherence","event","Undirected"
"coherence","focus","Undirected"
"coherence","formal","Undirected"
"coherence","function","Undirected"
"coherence","grammar","Undirected"
"coherence","identify","Undirected"
"coherence","informativeness","Undirected"
"coherence","informativity","Undirected"
"coherence","intentionality","Undirected"
"coherence","internal","Undirected"
"coherence","intersentential","Undirected"
"coherence","intertextuality","Undirected"
"coherence","language","Undirected"
"coherence","lexical","Undirected"
"coherence","line","Undirected"
"coherence","linguistic","Undirected"
"coherence","link","Undirected"
"coherence","main","Undirected"
"coherence","meet","Undirected"
"coherence","object","Undirected"
"coherence","occurrence","Undirected"
"coherence","perspective","Undirected"
"coherence","possible","Undirected"
"coherence","presumably","Undirected"
"coherence","principle","Undirected"
"coherence","provide","Undirected"
"coherence","reference","Undirected"
"coherence","regularity","Undirected"
"coherence","result","Undirected"
"coherence","see","Undirected"
"coherence","sense","Undirected"
"coherence","sentence","Undirected"
"coherence","separation","Undirected"
"coherence","sequence","Undirected"
"coherence","seven","Undirected"
"coherence","side","Undirected"
"coherence","situationality","Undirected"
"coherence","standard","Undirected"
"coherence","stretch","Undirected"
"coherence","structural","Undirected"
"coherence","structure","Undirected"
"coherence","text","Undirected"
"coherence","textual","Undirected"
"coherence","textuality","Undirected"
"coherence","texture","Undirected"
"coherence","unique","Undirected"
"coherence","unit","Undirected"
"coherence","unitary","Undirected"
"coherence","use","Undirected"
"coherence","whose","Undirected"
"coherence","wide","Undirected"
"coherent","cohesive","Undirected"
"coherent","concern","Undirected"
"coherent","consistent","Undirected"
"coherent","context","Undirected"
"coherent","discourse","Undirected"
"coherent","less","Undirected"
"coherent","make","Undirected"
"coherent","passage","Undirected"
"coherent","regard","Undirected"
"coherent","register","Undirected"
"coherent","situation","Undirected"
"coherent","statement","Undirected"
"coherent","structure","Undirected"
"coherent","text","Undirected"
"coherent","tissue","Undirected"
"coherent","two","Undirected"
"coherent","write","Undirected"
"coherent","writeable","Undirected"
"cohesion","communicative","Undirected"
"cohesion","complementary","Undirected"
"cohesion","comprise","Undirected"
"cohesion","conjunction","Undirected"
"cohesion","connectos","Undirected"
"cohesion","consider","Undirected"
"cohesion","constitute","Undirected"
"cohesion","contextual","Undirected"
"cohesion","definable","Undirected"
"cohesion","define","Undirected"
"cohesion","definition","Undirected"
"cohesion","discourse","Undirected"
"cohesion","distinguish","Undirected"
"cohesion","ellipsis","Undirected"
"cohesion","emphasis","Undirected"
"cohesion","event","Undirected"
"cohesion","focus","Undirected"
"cohesion","formal","Undirected"
"cohesion","function","Undirected"
"cohesion","grammar","Undirected"
"cohesion","identify","Undirected"
"cohesion","information","Undirected"
"cohesion","informativeness","Undirected"
"cohesion","informativity","Undirected"
"cohesion","intentionality","Undirected"
"cohesion","internal","Undirected"
"cohesion","intersentential","Undirected"
"cohesion","intertextuality","Undirected"
"cohesion","language","Undirected"
"cohesion","lexical","Undirected"
"cohesion","like","Undirected"
"cohesion","line","Undirected"
"cohesion","linguistic","Undirected"
"cohesion","link","Undirected"
"cohesion","main","Undirected"
"cohesion","meet","Undirected"
"cohesion","much","Undirected"
"cohesion","non-structural","Undirected"
"cohesion","object","Undirected"
"cohesion","occurrence","Undirected"
"cohesion","pattern","Undirected"
"cohesion","perspective","Undirected"
"cohesion","possible","Undirected"
"cohesion","presumably","Undirected"
"cohesion","principle","Undirected"
"cohesion","provide","Undirected"
"cohesion","refer","Undirected"
"cohesion","reference","Undirected"
"cohesion","regularity","Undirected"
"cohesion","relate","Undirected"
"cohesion","relation","Undirected"
"cohesion","result","Undirected"
"cohesion","rigorously","Undirected"
"cohesion","see","Undirected"
"cohesion","semantic","Undirected"
"cohesion","sense","Undirected"
"cohesion","sentence","Undirected"
"cohesion","separation","Undirected"
"cohesion","sequence","Undirected"
"cohesion","seven","Undirected"
"cohesion","side","Undirected"
"cohesion","situationality","Undirected"
"cohesion","sort","Undirected"
"cohesion","standard","Undirected"
"cohesion","stretch","Undirected"
"cohesion","strong","Undirected"
"cohesion","structural","Undirected"
"cohesion","structure","Undirected"
"cohesion","substitution","Undirected"
"cohesion","system","Undirected"
"cohesion","text","Undirected"
"cohesion","textual","Undirected"
"cohesion","textuality","Undirected"
"cohesion","texture","Undirected"
"cohesion","thematic","Undirected"
"cohesion","unchangeable","Undirected"
"cohesion","unique","Undirected"
"cohesion","unit","Undirected"
"cohesion","unitary","Undirected"
"cohesion","use","Undirected"
"cohesion","value","Undirected"
"cohesion","whose","Undirected"
"cohesion","wide","Undirected"
"cohesive","concern","Undirected"
"cohesive","consistent","Undirected"
"cohesive","context","Undirected"
"cohesive","discourse","Undirected"
"cohesive","element","Undirected"
"cohesive","form","Undirected"
"cohesive","integrate","Undirected"
"cohesive","linguistic","Undirected"
"cohesive","must","Undirected"
"cohesive","passage","Undirected"
"cohesive","recognizably","Undirected"
"cohesive","regard","Undirected"
"cohesive","register","Undirected"
"cohesive","situation","Undirected"
"cohesive","text","Undirected"
"cohesive","two","Undirected"
"cohesive","whole","Undirected"
"collection","connect","Undirected"
"collection","define","Undirected"
"collection","different","Undirected"
"collection","group","Undirected"
"collection","imply","Undirected"
"collection","relate","Undirected"
"collection","sentence","Undirected"
"collection","string","Undirected"
"collection","text","Undirected"
"collection","theme","Undirected"
"collection","unconnect","Undirected"
"collection","word","Undirected"
"come","comprise","Undirected"
"come","define","Undirected"
"come","end","Undirected"
"come","indicator","Undirected"
"come","linguistic","Undirected"
"come","meaningful","Undirected"
"come","sequentially","Undirected"
"come","structure","Undirected"
"come","text","Undirected"
"comment","concern","Undirected"
"comment","distribution","Undirected"
"comment","implicate","Undirected"
"comment","information","Undirected"
"comment","much","Undirected"
"comment","necessarily","Undirected"
"comment","new","Undirected"
"comment","old","Undirected"
"comment","predicate","Undirected"
"comment","rheme","Undirected"
"comment","subject","Undirected"
"comment","term","Undirected"
"comment","text","Undirected"
"comment","theme","Undirected"
"comment","topic","Undirected"
"comment","traditional","Undirected"
"comment","turn","Undirected"
"communicate","communication","Undirected"
"communicate","directionality","Undirected"
"communicate","producer","Undirected"
"communicate","purpose","Undirected"
"communicate","recipient","Undirected"
"communicate","text","Undirected"
"communication","conceive","Undirected"
"communication","configure","Undirected"
"communication","connect","Undirected"
"communication","context","Undirected"
"communication","directionality","Undirected"
"communication","discourse","Undirected"
"communication","dynamic","Undirected"
"communication","embody","Undirected"
"communication","function","Undirected"
"communication","impossible","Undirected"
"communication","instance","Undirected"
"communication","involve","Undirected"
"communication","language","Undirected"
"communication","linguistic","Undirected"
"communication","material","Undirected"
"communication","mean","Undirected"
"communication","meaning","Undirected"
"communication","message","Undirected"
"communication","motivate","Undirected"
"communication","need","Undirected"
"communication","numb","Undirected"
"communication","particular","Undirected"
"communication","producer","Undirected"
"communication","purpose","Undirected"
"communication","realization","Undirected"
"communication","recipient","Undirected"
"communication","relevant","Undirected"
"communication","repertoire","Undirected"
"communication","say","Undirected"
"communication","see","Undirected"
"communication","select","Undirected"
"communication","semiotic","Undirected"
"communication","sfl","Undirected"
"communication","shape","Undirected"
"communication","social","Undirected"
"communication","source","Undirected"
"communication","structure","Undirected"
"communication","system","Undirected"
"communication","text","Undirected"
"communication","understand","Undirected"
"communicative","consider","Undirected"
"communicative","constitute","Undirected"
"communicative","contemporary","Undirected"
"communicative","definable","Undirected"
"communicative","define","Undirected"
"communicative","definition","Undirected"
"communicative","editorial","Undirected"
"communicative","event","Undirected"
"communicative","formal","Undirected"
"communicative","function","Undirected"
"communicative","identify","Undirected"
"communicative","informativeness","Undirected"
"communicative","informativity","Undirected"
"communicative","intentionality","Undirected"
"communicative","intertextual","Undirected"
"communicative","intertextuality","Undirected"
"communicative","interweave","Undirected"
"communicative","language","Undirected"
"communicative","layout","Undirected"
"communicative","lexical","Undirected"
"communicative","linguistic","Undirected"
"communicative","main","Undirected"
"communicative","meet","Undirected"
"communicative","multiple","Undirected"
"communicative","occurrence","Undirected"
"communicative","possible","Undirected"
"communicative","presumably","Undirected"
"communicative","principle","Undirected"
"communicative","product","Undirected"
"communicative","provide","Undirected"
"communicative","record","Undirected"
"communicative","regard","Undirected"
"communicative","representational","Undirected"
"communicative","result","Undirected"
"communicative","rhetorial","Undirected"
"communicative","satisfy","Undirected"
"communicative","see","Undirected"
"communicative","semantic","Undirected"
"communicative","semiotic","Undirected"
"communicative","separation","Undirected"
"communicative","seven","Undirected"
"communicative","situationality","Undirected"
"communicative","standard","Undirected"
"communicative","study","Undirected"
"communicative","syntactic","Undirected"
"communicative","system","Undirected"
"communicative","text","Undirected"
"communicative","textuality","Undirected"
"communicative","texture","Undirected"
"communicative","typesetting","Undirected"
"communicative","unit","Undirected"
"communicative","use","Undirected"
"communicative","verbal","Undirected"
"communicative","write","Undirected"
"complementary","connectos","Undirected"
"complementary","consider","Undirected"
"complementary","contextual","Undirected"
"complementary","discourse","Undirected"
"complementary","emphasis","Undirected"
"complementary","grammar","Undirected"
"complementary","object","Undirected"
"complementary","perspective","Undirected"
"complementary","sense","Undirected"
"complementary","side","Undirected"
"complementary","structural","Undirected"
"complementary","text","Undirected"
"complementary","textual","Undirected"
"complementary","unique","Undirected"
"complementary","unitary","Undirected"
"complementary","wide","Undirected"
"complex","component","Undirected"
"complex","example","Undirected"
"complex","extralinguistic","Undirected"
"complex","form","Undirected"
"complex","give","Undirected"
"complex","interact","Undirected"
"complex","lexis","Undirected"
"complex","linguistic","Undirected"
"complex","materially","Undirected"
"complex","multiple","Undirected"
"complex","process","Undirected"
"complex","reader","Undirected"
"complex","result","Undirected"
"complex","sign","Undirected"
"complex","syntax","Undirected"
"complex","system","Undirected"
"complex","text","Undirected"
"complex","verbal","Undirected"
"complex","writer","Undirected"
"component","example","Undirected"
"component","extralinguistic","Undirected"
"component","form","Undirected"
"component","interact","Undirected"
"component","lexis","Undirected"
"component","linguistic","Undirected"
"component","multiple","Undirected"
"component","reader","Undirected"
"component","syntax","Undirected"
"component","system","Undirected"
"component","text","Undirected"
"component","writer","Undirected"
"compose","context","Undirected"
"compose","element","Undirected"
"compose","generate","Undirected"
"compose","interconnect","Undirected"
"compose","oral","Undirected"
"compose","particular","Undirected"
"compose","people","Undirected"
"compose","system","Undirected"
"compose","text","Undirected"
"compose","write","Undirected"
"comprise","conjunction","Undirected"
"comprise","define","Undirected"
"comprise","different","Undirected"
"comprise","ellipsis","Undirected"
"comprise","end","Undirected"
"comprise","grammatical","Undirected"
"comprise","indicator","Undirected"
"comprise","information","Undirected"
"comprise","integrity","Undirected"
"comprise","lexical","Undirected"
"comprise","like","Undirected"
"comprise","linguistic","Undirected"
"comprise","linkage","Undirected"
"comprise","logical","Undirected"
"comprise","meaningful","Undirected"
"comprise","non-structural","Undirected"
"comprise","pattern","Undirected"
"comprise","refer","Undirected"
"comprise","reference","Undirected"
"comprise","relation","Undirected"
"comprise","result","Undirected"
"comprise","semantic","Undirected"
"comprise","sequentially","Undirected"
"comprise","structural","Undirected"
"comprise","structure","Undirected"
"comprise","stylistic","Undirected"
"comprise","substitution","Undirected"
"comprise","text","Undirected"
"comprise","thematic","Undirected"
"comprise","type","Undirected"
"comprise","wholeness","Undirected"
"conceive","configure","Undirected"
"conceive","context","Undirected"
"conceive","dynamic","Undirected"
"conceive","instance","Undirected"
"conceive","meaning","Undirected"
"conceive","particular","Undirected"
"conceive","sfl","Undirected"
"conceive","text","Undirected"
"concern","consistent","Undirected"
"concern","context","Undirected"
"concern","discourse","Undirected"
"concern","distribution","Undirected"
"concern","implicate","Undirected"
"concern","information","Undirected"
"concern","much","Undirected"
"concern","necessarily","Undirected"
"concern","new","Undirected"
"concern","old","Undirected"
"concern","passage","Undirected"
"concern","predicate","Undirected"
"concern","regard","Undirected"
