Link;Autoria;Ano;Título;Definições;Referências das definições;Paráfrases
https://doi.org/10.1016/j.pragma.2009.06.012;Cheung;2010;The globalization and localization of persuasive marketing communication: A cross-linguistic socio-cultural analysis;"""[...] given that a text is a 'semantic unit: a unit not of form but of meaning' (Halliday and Hasan, 1976:2) and is the 'basic unit of language in use' (Halliday, 1970:160) due to its function as 'the verbal record of a communicative act' (Brown and Yule, 1983:6), it should not be defined by its size"" (p. 358).";"Halliday e Hasan (1976); Halliday (1970); Brown e Yule (1983,1984)";A text is a semantic unit. A text is the basic unit of language in use. A text functions as the verbal record of a communicative act.
https://doi.org/10.1016/S0378-2166(98)00099-X;Haberland;1999;Text, discourse, discours: The latest report from the Terminology Vice Squad;"""Text [...] in Malinowski's words, is 'divorced from its context of action and situation' (1935:8). This means that text is what happens to discourse if or when it is taken out of the immediate context of its production, whether written down, recorded, quoted or remembered"" (p. 912). ""[...] a text is the way in which the utterance of a speaker can be preserved in time after the immediate speech situation"" (p. 912). ""What Jacob calls text, is a discontextualized object of analysis (as it is, in a different way, for Malinowki and Ehlich)"" (p. 914). ""The discursive events leave textual traces; actually, texts are these traces and without discours there would be no texts"" (p. 915).";"Malinowski (1935); Ehlich (1979)";Text is what happens to discourse if or when it is taken out of the immediate context of its production, whether written down, recorded, quoted or remembered. A text is the way in which the utterance of a speaker can be preserved in time after the immediate speech situation. A text is a discontextualized object of analysis. Texts are traces of discursive events.
https://doi.org/10.1016/0378-2166(87)90111-1;Geist;1987;The three levels of connectivity in a text;"""Connectivity is found on three levels: the grammatical-semantic level, the thematic-topic level, and the level of discourse and intentionality. On the first level, the text is a string of sentences: Here, the problem is how to connect the sentences and parts of the text with one another. On the second level, the text is a collection of different themes and arguments; here, the problem is how to structure and supplement this collection in relation to a main topic in the text. On the third level, the text is a conversation, a multiplicity of voices fading in and out of a discussion; here, the problem is to establish the leading voice, thereby giving the text its intentionality, its final connectivity, and identity"" (p. 737).";;The text is a string of sentences. The text is a collection of different themes and arguments. The text is a conversation, a multiplicity of voices fading in and out of a discussion.
https://doi.org/10.1016/S1060-3743(02)00085-1;Kaplan e Grabe;2002;A modern history of written discourse analysis;"""Written texts can be examined from the perspective of textlinguistics, originally developed in Germany but having important constituents in Britain. From this perspective, a text is a stretch of language whose structure is constituted along linguistic lines, so that the textuality results from internal cohesion and coherence of textual units; that is, a focus on regularities of intersentential links – e.g., conjunction, ellipsis, lexical cohesion, reference, etc. Additionally, there has been a concern for the distribution of information within texts – old/new, theme/rheme, topic/comment (which in turn necessarily implicates subject/predicate in more traditional terms) (Finegan, 1999; Halliday & Hasan, 1976, 1989)"" (p. 193).";"Finegan (1999); Halliday e Hasan (1976); Halliday e Hasan (1985,1989)";A text is a stretch of language whose structure is constituted along linguistic lines, so that the textuality results from internal cohesion and coherence of textual units, that is, a focus on regularities of intersentential links – conjunction, ellipsis, lexical cohesion, reference. Additionally, there has been a concern for the distribution of information within texts – old, new, theme, rheme, topic, comment, which in turn necessarily implicates subject and predicate in more traditional terms.
https://doi.org/10.1016/j.sbspro.2010.03.611;Rottensteiner;2010;Structure, function and readability of new textbooks in relation to comprehension;"""A text is a tissue of a certain structure which can be made coherent written or at least writeable statements. A lot of linguistic studies cite preferentially the 1981 edited Introduction of text linguistics written by ROBERT ALAIN DE BEAUGRANDE and WOLFGANG ULRICH DRESSLER. They list 7 significant criteria such as cohesion, coherence, intentionality, acceptability or intertextuality, which distinguish texts and non-texts"" (p. 3894).";Beaugrande e Dressler (1981,1988,1997);A text is a tissue of a certain structure which can be made coherent written or at least writeable statements.
https://doi.org/10.1016/S0898-5898(97)90005-X;Fang;1997;A study of changes and development in children's written discourse potential;"""Briefly, a text is a social event. It is the organized actualization of context and role relations (Halliday & Hasan, 1989)"" (p. 343).";Halliday e Hasan (1985,1989);A text is a social event. A text is the organized actualization of context and role relations.
https://doi.org/10.1016/j.jeap.2019.100769;Alexander;2019;The contribution of Halliday to EAP writing instruction: A personal journey;"""In Systemic Functional Grammar, language is viewed as a complex system of interconnected layers of meaning, with components whose selection is determined by the interaction between speaker and listener or writer and reader in a particular situation. Texts are viewed as dynamic structures through which meanings flow in waves of abstraction 'with smaller units of discourse 'scaffolded' within larger units' (Martin & Rose, 2007, p. 199)"" (p. 2).";"Halliday (2004); Martin e Rose (2007)";Texts are viewed as dynamic structures through which meanings flow in waves of abstraction with smaller units of discourse scaffolded within larger units.
https://doi.org/10.1016/0378-2166(89)90109-4;Luke;1989;Open and closed texts: The ideological/semantic analysis of textbook narratives;"""This much educational researchers agree upon: Curricular text entails messages which convey particular values, knowledges, beliefs and understandings; text embodies linguistic structures, without which the communication of said messages would be impossible. This is to say that text involves coded information"" (p. 53). ""Texts are, moreover, pragmatic entities, produced and consumed in a context of human intersubjective relationships between author, reader and, in the case of the school text, teacher"" (p. 58).";;Text embodies linguistic structures, without which the communication of said messages would be impossible. Text involves coded information. Texts are pragmatic entities, produced and consumed in a context of human intersubjective relationships between author, reader and, in the case of the school text, teacher.
https://doi.org/10.1016/j.sbspro.2014.04.220;Mee e Seng;2014;Whose story? A systemic functional perspective on Mariah;"""Any text, regardless of whether it is in the written or spoken form, resides in its society; it is the product of social semiotics (Halliday, 1993) a system of signs that reflects the origin of its social and cultural environment"" (p. 24).";Halliday (1993);Any text resides in its society. A text is the product of social semiotics. A text is a system of signs that reflects the origin of its social and cultural environment.
https://doi.org/10.1016/j.sbspro.2015.06.020;Gowhary et al.;2015;A critical discourse analysis of the electoral talks of Iranian presidential candidates in 2013;"""Wodak` draw (2002) is a line between 'discourse' and 'text'. He views discourse as a system of knowledge and memory, as compared to text which merely represents tangible oral utterances or written documents"" (p. 132).";Wodak (2002);Text represents tangible oral utterances or written documents.
https://doi.org/10.1016/S0306-4573(96)00051-9;Brooks;1997;The relevance aura of bibliographic records;"""'A text is a interweave of multiple semiotic systems: editorial (typesetting, layout), lexical, syntactic, semantic, representational, communicative, rhetorical, intertextual, etc. It is not the character strings that are significant; rather, it is their properties specific to each of these systems and interpreted by a cognitive agent.' (Bertrand-Gastaldy et al., 1995, p. 56)"" (p. 70).";Bertrand-Gastaldy et al. (1995);A text is a interweave of multiple semiotic systems: editorial (typesetting, layout), lexical, syntactic, semantic, representational, communicative, rhetorial, intertextual.
https://doi.org/10.1016/j.pragma.2010.03.005;Bache;2010;Hjelmslev's Glossematics: A source of inspiration to Systemic Functional Linguistics?;"""Systemicists are interested in how entire texts are produced and understood as discourse. Essentially this means that a text is regarded as a semantic or functional unit, not a formal one. A text is thus not to be thought of as composed of sentences but as a discourse unit that may be encoded in sentences (ef. Halliday, 1978:109, 135f)"" (p. 2565). ""Hjelmslev defines a text as 'a syntagmatic whose chains, if expanded indefinitely, are manifested by all purports' (1943:97; 1961:109)"" (p. 2571).";"Halliday (1978); Hjelmslev (1943); Hjelmslev (1961)";A text is regarded as a semantic or functional unit. A text is to be thought of as a discourse unit that may be encoded in sentences. A text is a syntagmatic whose chains, if expanded indefinitely, are manifested by all purports.
https://doi.org/10.1016/S0378-2166(97)00075-1;Kitis e Milapides;1997;Read it and believe it: How metaphor constructs ideology in news discourse. A case study;"""A text is rightly seen as a unit of language in use (Halliday and Hasan, 1976), a product rather than a process. More precisely, it is 'a product of the process of text production' (Fairclough, 1989: 24), embedded in the discourse which constitutes the social process of any interaction"" (p. 558). ""[...] a text (and more specifically, a news text) can be analyzed as an act of communication which is characterized by directionality, i.e., it has a producer and a recipient and its purpose is to communicate"" (p. 559).";"Halliday e Hasan (1976); Fairclough (1989)";A text is rightly seen as a unit of language in use, a product. A text is a product of the process of text production, embedded in the discourse which constitutes the social process of any interaction. A text can be analyzed as an act of communication which is characterized by directionality, it has a producer and a recipient and its purpose is to communicate.
https://doi.org/10.1016/0304-422X(79)90032-9;Fowler;1979;Preliminaries to a sociolinguistic theory of literary discourse;"""For Fish, a text or a sentence is not an object, a thing-in-itself, but 'an event, something that happens to, and with the participation of, the reader' (1970: 125)"" (p. 539). ""A text is seen as the material realization of a discourse involving a number of codes 'selected' from a repertoire relevant to the function of the communication between source and addressee(s)"" (p. 548).";Fish (1970);A text or a sentence is an event, smething that happens to, and with, the participation of, the reader. A text is seen as the material realization of a discourse involving a number of codes selected from a repertoire relevant to the function of the communication between source and addressees.
https://doi.org/10.1016/0024-3841(82)90003-1;Makino;1982;Japanese grammar and functional grammar;"""The third function Halliday posits is the 'textual' function which 'enables the speaker or writer to construct 'texts', or connected passages of discourse that are situationally relevant; and enables the listener or reader to distinguish a text from a random set of sentences' (1970: 143)"" (p. 132)";Halliday (1970);Texts are connected passages of discourse that are situationally relevant.
https://doi.org/10.1016/j.specom.2008.06.003;Ouden, Noordman e Terken;2009;Prosodic realizations of global and local structure and rhetorical relations in read aloud news reports;"""A text is a collection of sentences that cohere: each sentence is related to another sentence or to a group of sentences"" (p. 116).";;A text is a collection of sentences that cohere: each sentence is related to another sentence or to a group of sentences.
https://doi.org/10.1016/0304-422X(83)90023-2;Beaugrande;1983;Surprised by syncretism: Cognition and literary criticism exemplified by E.D. Hirsch, Stanley Fish, and J. Hillis Miller;"""The most fundamental problem for theories and models of communication is how to define the TEXT. The SURFACE TEXT is a manifestation language users intend and accept as the visual or acoustic trace of an action of inscribing or uttering. But the status of the text as such cannot be determined by simply examining its manifest trace. The text is both the result and the cause of complex processing actions. Just as the occurrence of the text was a dynamic event, any further use of it (comprehending, describing, remembering, investigating, etc.) is another such event"" (p. 87-88).";;The text is both the result and the cause of complex processing actions.
https://doi.org/10.1016/0378-2166(80)90015-6;Beaugrande;1980;The pragmatics of discourse planning;"""The discourse is said to consist of texts: meaningful configurations of sings that fulfill certain criteria"" (p. 17). ""The text has a special theoretical status. The linguistic entities of the phoneme, the morpheme, or the sentence are elements of virtual systems of language, that is, they are constituents of repertories in which the available options of the overall language are stated. In contrast, the text is an actual system in which the decisions about selection and utilization of options have been carried out"" (p. 17).";;Texts are meaningful configurations of sings that fulfill certain criteria. The text is an actual system in which the decisions about selection and utilization of options have been carried out.
https://doi.org/10.1016/S0898-5898(05)80009-9;Golden e Pappas;1990;A sociolinguistic perspective on retelling procedures in research on children's cognitive processing of written text;"""[...] a text is a social exchange of meanings, a semantic unit; it is both a product and a process. It is a product in the sense that it is an output of a particular social interaction that can be recorded and studied, and it is a process in the sense that it represents a continuous process of semantic choice based on parameters operating in a particular context of situation"" (p. 23).";Halliday e Hasan (1985,1989);A text is a social exchange of meanings, a semantic unit. A text is both a product and a process. A text is a product in the sense that it is an output of a particular social interaction that can be recorded and studied. A text is a process in the sense that it represents a continuous process of semantic choice based on parameters operating in a particular context of situation.
https://doi.org/10.1016/0304-422X(79)90036-6;Beaugrande;1979;Toward a general theory of creativity;"""Being an assembly of mutually relevant elements, the text is itself a system"" (p. 274). ""In contrast to language systems, whose state is stabilized by the synchronic viewpoint, the text is a system with TRANSITIONS between STATES such as information states (what is known or in focus at any point)"" (p. 274). ""The sentence is a mono-systemic entity defined by syntactic criteria; the text is a transsystemic entity defined by pragmatic criteria"" (p. 275).";;The text is a system, an assembly of mutually relevant elements. The text is a system with transitions between states such as information states (what is known or in focus at any point). The text is a transsystemic entity defined by pragmatic criteria.
https://doi.org/10.1016/0304-422X(89)90005-3;Sándor;1989;Poeticity;"""Text is some materially given verbal sign complex (Petöfi (1981), Sándor (1982))"" (p. 303). ""Texts always need to be mentally framed for functioning as texts"" (p. 304).";"Petöfi (1981); Sándor (1982)";Text is some materially given verbal sign complex. Texts always need to be mentally framed for functioning as texts.
https://doi.org/10.1016/j.jeap.2019.100807;Purser, Dreyfus e Jones;2020;Big ideas & sharp focus: Researching and developing students’ academic writing across the disciplines;"""[...] text [...] in SFL is conceived not as a material artefact (such as a book, paper or talk) so much as an instance of meanings configured in a particular and dynamic context (communication)"" (p. 2). ""Halliday defines a text in terms of the meanings it makes, not its size or form. A text is understood here as communication motivated and shaped by the needs of a particular social context, and as the means of connecting a context to semiotic systems (such as a language)"" (p. 2). ""[...] a 'text' is a semantic unit, manifesting relationships between the social practices of a specific context and a stratified language system"" (p. 12).";"Martin (2016); Halliday e Hasan (1985,1989)";Text in SFL is conceived as an instance of meanings configured in a particular and dynamic context (communication). Halliday defines a text in terms of the meanings it makes. A text is understood here as communication motivated and shaped by the needs of a particular social context, and as the means of connecting a context to semiotic systems (such as language). A text is a semantic unit, manifesting relationships between the social practices of a specific context and a stratified language system.
https://doi.org/10.1016/j.linged.2009.01.006;Huang e Mohan;2009;A functional approach to integrated assessment of teacher support and student discourse development in an elementary Chinese program;"""The text is not a display of language resources, but construction of meaning using the resources of the language system in context"" (p. 23).";;The text is a construction of meaning using the resources of the language system in context.
https://doi.org/10.1016/0304-422X(73)90001-6;Pavel;1973;Some remarks on narrative grammars;"""On the one hand, TEXT may be defined as 'any sequence of sentences having a certain coherence', and in this weak sense of the term each folk-tale is a text. On the other hand text may be defined more rigourously as 'any unchangeable sequence of sentences which has a strong cohesion and the unchangeable character of which is related to a value system of some sort'"" (p. 12). ""In its stronger meaning, the 'text' is very similar to the notion which Zumthor (1963) called MONUMENT (as opposed to document); that is, a specific use of language resulting from 'the radical tendency to surpass the contingent' which corresponds to the need of representing (and to constituting) a network or values"" (p. 12). ""The text in its stronger sense, is, by definition, unique"" (p. 12).";Zumthor (1963);Text may be defined as any sequence of sentences having a certain coherence. Text may be defined more rigorously as any unchangeable sequence of sentences which has a strong cohesion and the unchangeable character of which is related to a value system of some sort. The text is a specific use of language resulting from the radical tendency to surpass the contingent which corresponds to the need of representing and to constituting a network of values.
https://doi.org/10.1016/j.eswa.2023.121580;Oliveira, Senna e Pereira;2024;Indices of textual cohesion by lexical repetition based on semantic networks of cliques;"""A text is a complex system formed by linguistic (e.g., lexis and syntax) and extralinguistic (e.g., writers and readers) components that interact in multiple ways"" (p. 1)";;A text is a complex system formed by linguistic (for example, lexis and syntax) and extralinguistic (for example, writers and reader) components that interact in multiple ways 
https://doi.org/10.1016/j.physrep.2023.12.002;Stanisz, Drożdż e Kwapień;2024;Complex systems approach to natural language;"""In the most straightforward approach, a text can be treated as a sequence of characters"" (p. 24). ""Another approach is to consider words as individual symbols — a text becomes then a sequence of words"" (p. 24)";;A text can be treated as a sequence of characters. When considering words as individual symbols, a text becomes then a sequence of words.
https://doi.org/10.17721/APULTP.2021.43.22-41;Kovalchuk e Popivniak;2021;Textuality standards of goods labels and packaging;"""The text is any written record of communicative event [...]"" (p. 27).";Beaugrande (1980);The text is any written record of communicative event.
https://doi.org/10.46991/AFA/2015.11.2.049;Dalalyan;2015;Textual repetition as a manifestation of irony;"""Text is a unit of language in use. It is a lexico-grammatical unit realized through a phonological system with its own hierarchy of units (Halliday 1977:6-7). Text has been defined as a communicative occurrence which meets seven standards of textuality – cohesion, coherence, intentionality, acceptability, informativity, situationality and intertextuality (Halliday, Hasan 1976:14-18)"" (p. 49). ""Unlike a spontaneous speech, text is a result of integrity and wholeness comprised by different types of linkage – lexical, grammatical, logical and stylistic"" (p. 50).";"Halliday (1977); Halliday e Hasan (1976)";Text is a unit of language in use. Text is a lexico-grammatical unit realized through a phonological system with its own hierarchy of units. Text has been defined as a communicative occurrence which meets seven standards of textuality – cohesion, coherence, intentionality, acceptability, informativity, situationality and intertextuality. Text is a result of integrity and wholeness comprised by different types of linkage – lexical, grammatical, logical and stylistic.
https://doi.org/10.52034/lanstts.v3i.106;Collet;2004;What's a term? An attempt to define the term within the theoretical framework of text linguistics;"""Today, text linguistics approaches the study of the level of the text from at least three different perspectives. These are (1) the text itself, which is seen as the product of a communicative act or event, (2) the participants in the communicative event, i.e. the producer and the receiver of the text, and (3) the situation in which the communicative event takes places. For the purposes of this article, only the first of these three perspectives will be considered. Within this perspective, the text is a construct that has to have texture, i.e. it has to possess characteristics that allow it to function as a unit"" (p. 103).";;The text is seen as the product of a communicative act or event. The text is a construct that has to have texture, it has to possess characteristics that allow it to function as a unit.
http://dx.doi.org/10.11114/jets.v4i12.1897;Ocak e Baysal;2016;Evaluation of English textbooks in terms of textuality standards;"""In the most general sense, a text is a set of words that make up a format, narrative and punctuation features (TDK, 2011). Akbayır (2007) expresses how if a fabric takes shape by weaving the ropes as a whole, similarly, a text is made up by adding the elements which build the text one after the other. A text is a system which is composed of interconnected elements generated by people as oral or written in a particular context (Günay, 2007). Güllü (1994) defines a text as a passage which can be in various length, oral or written and evokes a unity"" (p. 36).";"Türk (2011); Akbayır (2007); Günay (2003,2007); Güllü (1994)"; A text is a set of words that make up a format, narrative and punctuation features.  A text is made up by adding the elements which build the text one after the other. A text is a system which is composed of interconnected elements generated by people as oral or written in a particular context. A text is a passage which can be in various length, oral or written and evokes a unity.
https://doi.org/10.23918/ijsses.v8i4p276;Ali;2021;The concept of cohesion and coherence in modern linguistics with reference to English and Kurdish;"""A text is a unified semantic unit which refers to any spoken or written passage to any spoken or written passage of whatever length. Texts, presumably, the main area of separation for cohesion, are seen as language units which have a definable communicative function, characterized by such principles as cohesion, coherence, and informativeness which can be used to provide a formal definition of what constitutes their identifying textuality or texture"" (p. 279).";;A text is a unified semantic unit which refers to any spoken or written passage of whatever length. Texts, presumably, the main area of separation for cohesion, are seen as language units which have a definable communicative function, characterized by such principles as cohesion, coherence, and informativeness which can be used to provide a formal definition of what constitutes their identifying textuality or texture.
http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1010-99192021000100008;Lyons;2021;Local incoherence, global coherence? Allusion and the readability of ancient Israelite literature;"""Robert de Beaugrande and Wolfgang Dressler, Introduction to Text Linguistics (London: Longman, 1981), 3: 'A TEXT will be defined as a COMMUNICATIVE OCCURRENCE which meets seven standards of TEXTUALITY. If any of these standards is not considered to have been satisfied, they text will not be communicative. Hence, noncommunicative texts are treated as non-texts.' These standards (pp. 3–12) are cohesion, coherence, intentionality, acceptability, informativity, situationality and intertextuality"" (p. 141, nota de rodapé).";Beaugrande e Dressler (1981,1988,1997);A text will be defined as a communicative occurrence which meets seven standards of textuality. If any of these standards is not considered to have been satisfied, they text will not be communicative. Hence, noncommunicative texts are treated as non-texts. These standards are cohesion, coherence, intentionality, acceptability, informativity, situationality and intertextuality.
https://eric.ed.gov/?id=ED618182;Marashi;2020;Impact of teaching cohesive devices to Iranian EFL learners: Case of IELTS writing task 2 examination;"""Michael Halliday (1994); one of the linguists credited with the development of systemic linguistics and functional grammar, defines text as any authentic stretch of written or spoken language"" (p. 115). ""In Halliday and Hasan‟s definition in their book Cohesion in English (1976, p.23), coherence refers to the internal elements of a text, consisting of cohesion and register. They further added that 'A text is a passage of discourse which is coherent in these two regards: it is coherent concerning the context of the situation, and therefore consistent in a register, and it is coherent concerning itself, and therefore cohesive'"" (p. 118).";"Halliday (1994); Halliday e Hasan (1976)";A text is any authentic stretch of written or spoken language. A text is a passage of discourse which is coherent in these two regards: it is coherent concerning the context of the situation, and therefore consistent in a register, and it is coherent concerning itself, and therefore cohesive.
https://revistaseletronicas.pucrs.br/ojs/index.php/fale/article/view/17489;Amaral;1985;On the categories of textual cohesion and text complexity;"""Brown & Yule (1984: 190) definem o texto como 'o registro verbal de uma ocorrência comunicativa', e destacam o papel relacional da coesão"" (p. 31).";Brown e Yule (1983,1984);A text is the verbal record of a communicative occurrence.
https://portaldeperiodicos.animaeducacao.com.br/index.php/Linguagem_Discurso/article/view/180;Felisbino;2001;Assessment of text production;"""[...] O texto ou discurso é definido, segundo Costa Val 'como ocorrência lingüística falada ou escrita de qualquer extensão, dotada de unidade sóciocomunicativa, semântica e formal' (p. 3). Ou seja, um texto é uma unidade de linguagem em uso, cumprindo uma função identificável num dado jogo de ação sociocomunicativa"" (p. 1). ""Segundo Costa Val, 'uma ocorrência lingüística, para ser texto, precisa ser percebida pelo recebedor como um todo significativo. Ainda, o texto caracteriza-se por apresentar uma unidade formal, material. Os elementos lingüísticos que o formam devem ser reconhecivelmente integrados, de modo a permitirem que ele seja apreendido como um todo coeso (p. 4)"" (p. 1). ""Assim um texto caracteriza-se como texto pela sua textualidade, ou seja, conjunto de fatores que faze com que um texto seja um texto e não amontoado de frases"" (p. 2).";Costa Val (1991);The text or discourse is defined as a linguistic occurrence, spoken or written, of any extension, endowed with socio-communicative, semantic and formal unity. A text is a unit of language in use, fulfilling an identifiable function in a given socio-communicative action game. A linguistic occurrence, to be a text, needs to be perceived by its receiver as a meaninful whole. The text is characterized by presenting a formal, material unity. The linguistic elements that form the text must be recognizably integrated, so that it can be apprehended as a cohesive whole. A text is characterized as a text by its textuality, that is, a set of factors that make a text a text and not a pile of sentences.
https://doi.org/10.2307/3586466;Carrell;1982;Cohesion Is Not Coherence;"""The word TEXT is used in linguistics to refer to any passage, spoken or written, of whatever length, that does form a unified whole"" (p. 480).";Halliday e Hasan (1976);The word text is used in linguistics to refer to any passage, spoken or written, of whatever length, that does form a unified whole.
http://dx.doi.org/10.15381/lengsoc.v21i1.22481;Campuzano e Paucar;2022;Recursos cohesivos en textos periodísticos: análisis comparativo en cinco publicaciones del diario El Comercio de Perú;"""Según Beaugrande y Dressler (1997), el texto es um 'acontecimiento comunicativo' que solo es posible si cumple siete normas de textualidade: la cohesión, la coherencia, intencionalidad, aceptabilidad, informatividad, situacionalidad e intertextualidad"" (p. 406)";Beaugrande e Dressler (1981,1988,1997);A text is a communicative event that is only possible if meets seven standards of textuality: cohesion, coherence, intentionality, acceptability, informativity, situationality and intertextuality.
